Master List of STAS USE Attributes

Version 2.0 Mon Mar 25 10:58:51 1996

================================================================================
            SEARCH FIELD NAME         |      SEARCH     | Z39.50   |   Z39.50  |
Patent Application Number             | AP              |          | 2029      |
Patent Application Number, JPO        | APN             |          | 2566      |
Patent Application Type               | AT              |          | 2504      |
Patent Application Year               | AY              |          | 2030      |
Patent Application Year, USPTO        | FY(AY)          |          | 2518      |
Patent Assignee                       | PA              |          | 2577      |
Patent Assignee (non-standard format  | PAF             |          | 2750      |
  )                                   |                 |          |           |
Patent Assignee City                  | PA.CTY          |          | 2804      |
Patent Assignee Country               | PA.CNY          |          | 2805      |
Patent Assignee State                 | PA.ST           |          | 2806      |
Patent Assignee Type                  | PAT             |          | 2808      |
Patent Assignee ZIP Code              | PA.ZIP          |          | 2807      |
Patent Assignee, Original             | PAO             |          | 3095      |
Patent Country                        | PC              |          | 2031      |
Patent Kind Code                      | PK              |          | 2032      |
Patent Number                         | PN              |          | 2033      |
Patent Number Range                   | PATR            |          | 2505      |
PCT 102(e) Date                       | 102E            |          | 2521      |
PCT Filing Date                       | PTFD            |          | 2519      |
PCT Number                            | PTAN(PCT)       |          | 2520      |
PCT Publication Date                  | PTPD            |          | 2523      |
PCT Publication Number                | PTPN            |          | 2522      |
Percent Relative Error                | ERR             |          | 2907      |
Performing Organization               | CSP             |          | 3085      |
Period Covered                        | PER             |          | 3372      |
Periodic Group                        | PG              |          | 2107      |
Personal Safety Precautions           | PSP             |          | 3309      |
pH Value                              | PHV             |          | 3310      |
pH Value Text                         | PHV.TX          |          | 3311      |
Pharmacological Activity Code         | PHCD            |          | 2753      |
Phase Transition                      | PT              |          | 3122      |
Phase Transition Point                | PTP             |          | 3123      |
Physical Properties                   | PHP             |          | 3070      |
Polymer Class Term                    | PCT             |          | 2108      |
Polymerization                        | POLY            |          | 3312      |
Preferred Propery Name                | PPN             |          | 3343      |
Premanufacture Notice                 | PMN(5A1)        |          | 2908      |
Premanufacture Notice Number          | PMNN(5A1N)      |          | 2909      |
Primary Examiner                      | XP              |          | 2557      |
Prior Accident History                | PAH             |          | 3313      |
Priority Country                      | PRC             |          | 2034      |
Priority Country Code, USPTO          | PRCO            |          | 2533      |
Priority Date                         | PRD             |          | 2035      |
Priority Date, USPTO                  | PRAD            |          | 2532      |
Priority Number                       | PRN             |          | 2036      |
Priority Number, USPTO                | PRAN            |          | 2534      |
Priority Year                         | PRY             |          | 2037      |
Probable Exposure                     | PBEX            |          | 3314      |
Probable Route of Human Exposure      | RTEX            |          | 3315      |
Product                               | PRO             |          | 2910      |
Project Number                        | PRJ             |          | 3374      |
Property Hierarchy                    | PH              |          | 3342      |
Property Table Current Date           | PTCD            |          | 3124      |
Property Table Issue Date             | PTID            |          | 2911      |
Property Table Previous Date          | PTPD            |          | 3125      |
Property Table Revision Date          | PTRD            |          | 2912      |
Publication/Issue Date                | PD              | 31       |           |
Publication/Issue Year                | PY              |          | 2038      |
Publisher                             | PB              | 1018     |           |
Quality Codes                         | QC              |          | 2913      |
Radiation Limit                       | RADL            |          | 3316      |
Radius of Gyration                    | RG              |          | 2915      |
Raman Spectrum Peak Position          | RAS.PP          |          | 3051      |
RCRA Requirements                     | RCRA            |          | 3317      |
Reactant                              | RCT             |          | 2916      |
Reactant-Reagent                      | RRT             |          | 2917      |
Reactivity and Incompatibility        | REAC            |          | 3318      |
Reagent                               | RGT             |          | 2923      |
Reassignment Address                  | RAA             |          | 3096      |
Reassignment Company                  | RAC             |          | 3098      |
Reassignment Date                     | RAD             |          | 3099      |
Reassignment Kind                     | RAK             |          | 3100      |
Reexamination Certificate Date        | RXD             |          | 3102      |
Reexamination Number                  | RXN             |          | 3215      |
Reexamination Request Date            | RRD             |          | 3101      |
Reexamination Requestor               | RXR             |          | 3104      |
Reference Author                      | RAU             |          | 2755      |
Reference Count                       | REC             |          | 2756      |
Reference Page Number                 | RPG             |          | 2758      |
Reference Patent Classification       | RPCL            |          | 2759      |
Reference Patent Country              | RPC             |          | 2760      |
Reference Patent Inventor             | RPIN(RIN)       |          | 2775      |
Reference Patent IPC                  | RPIC            |          | 2809      |
Reference Patent Number               | RPN             |          | 2763      |
Reference Patent Pub. Date            | RPD             |          | 2764      |
Reference Pub. Year                   | RPY             |          | 2765      |
Reference Volume                      | RVL             |          | 2766      |
Reference Work                        | RWK             |          | 2767      |
References and Footnotes              | RE              |          | 2488      |
Refractive Index                      | RI              |          | 2924      |
Refractive Index (Derivative)         | RI.DRV          |          | 3201      |
Refractive Index Spectral Line        | RI.SL           |          | 3053      |
Refractive Index Spectral Line (Deri  | RI.SL.DRV       |          | 3202      |
  vative)                             |                 |          |           |
Refractive Index Temperature          | RI.T            |          | 3054      |
Refractive Index Temperature (Deriva  | RI.T.DRV        |          | 3203      |
  tive)                               |                 |          |           |
Refractive Index Wavelength           | RI.W            |          | 3055      |
Registry Number Locator               | LC              |          | 2109      |
Regression Equation Code              | EQN             |          | 2925      |
Regulatory List No.                   | RLN(EPN)        |          | 2927      |
Reinstatement Date                    | RID             |          | 3105      |
Reissue Application Filing Date       | REFD            |          | 2527      |
Reissue Application Number            | REAN            |          | 2526      |
Reissue Issue Date                    | REPD            |          | 2525      |
Reissue Patent Number                 | REPN            |          | 2524      |
Related App. Patent Issue Date        | RLPD            |          | 2531      |
Related App. Patent Issue Year        | RLPY            |          | 2819      |
Related Application Country           | RLC             |          | 2769      |
Related Application Filing Date       | RLFD(RLD)       |          | 2529      |
Related Application Filing Year       | RLY             |          | 2772      |
Related Application Patent Number     | RLPN            |          | 2530      |
Related Application Type              | RLT             |          | 2771      |
Related ApplicationNumber             | RLAN(RLN)       |          | 2528      |
Related CAS Reg. No                   | XRN             |          | 2928      |
Related Publication Indicator         | RLP             |          | 2773      |
Relative Composition                  | RC              |          | 2110      |
Relative Vaporization Rate            | RVAP            |          | 3319      |
Relative Vaporization Rate Text       | RVAP.TX         |          | 3320      |
Report of Volume, Exposure, etc.      | 8A(REP)         |          | 2929      |
Reproductive Data                     | REP             |          | 2930      |
Research Front                        | RF              |          | 2777      |
Research Front Weight                 | RFWT            |          | 2778      |
Research Front Word                   | RFW             |          | 2779      |
Reviewer                              | RV              |          | 3071      |
Revision Date                         | RDAT            |          | 2780      |
Revision Note                         | RNTE            |          | 2781      |
Right Boundary                        | RB              |          | 2782      |
Ring Atom Count                       | RATC            |          | 2111      |
Ring Element                          | REL             |          | 2112      |
Ring Element Count                    | RELC            |          | 2113      |
Ring Element Formula                  | RELF            |          | 2114      |
Ring Element Formula Count            | RELF.CNT        |          | 2115      |
Ring Identifier                       | RID             |          | 2116      |
Ring Size of Smallest Ring            | SZS             |          | 2117      |
Ring System Formula                   | RF              |          | 2119      |
Risk May Be Unreasonable              | 4F(RIS)         |          | 2931      |
Role                                  | RL              |          | 2783      |
Route                                 | RTE             |          | 2932      |
Route (Derivative)                    | RTE.DRV         |          | 3204      |
RTECS Number                          | RTN             |          | 2933      |
Rule 47 Indicator                     | R47             |          | 2510      |
Sampling Procedure                    | SAMP            |          | 3321      |
Scale                                 |                 |          | 3010      |
Second Virial Coeff                   | SVC             |          | 2935      |
Second Virial Coeff Temp.             | SVC.T           |          | 2934      |
Section Cross-Reference               | SX              |          | 2039      |
Section Title                         | SCT,SC          |          | 2501      |
Section Update Date                   | SUP             |          | 2936      |
Section-code                          |                 |          | 3011      |
Section-heading                       |                 |          | 3012      |
Sequence Exact Family Nucleic Acid    | SQEFN           |          | 2120      |
Sequence Exact Family Protein         | SQEFP           |          | 2121      |
Sequence Exact Nucleic Acid           | SQEN            |          | 2122      |
Sequence Exact Protein                | SQEP            |          | 2123      |
Sequence Length                       | SQL             |          | 2126      |
Shipping                              | SHIP            |          | 3322      |
Significant New Use Rule              | SNU,5A2,RSNU    |          | 2937      |
Size for the Ring System              | SZ              |          | 2128      |
Soil Adsorption/Mobility              | KOC             |          | 3323      |
Soil Standard                         | SSTD            |          | 3324      |
Solubility                            | SLB             |          | 3056      |
Solubility Paramet.                   | SOLP            |          | 2938      |
Solubility Solvent                    | SLB.SOL         |          | 3057      |
Solubility Text                       | SLB.TX          |          | 3058      |
Solvent                               | SOL             |          | 2939      |
Source                                | SO              |          | 2040      |
Source Code for Notebook Reference    | SRC             |          | 3376      |
South Latitude                        | SLAT            |          | 2784      |
Special Feature                       | FEAT            |          | 2940      |
Special Report                        | RPTS            |          | 3325      |
Specific Gravity                      | SPGR            |          | 3059      |
Specific Gravity (Derivative)         | SPGR.DRV        |          | 3205      |
Specific Gravity Reference Temperatu  | SPGR.RT         |          | 3217      |
  re                                  |                 |          |           |
Specific Gravity Reference Temperatu  | SPGR.RT.DRV     |          | 3206      |
  re (Derivative)                     |                 |          |           |
Specific Gravity Temperature          | SPGR.T          |          | 3060      |
Specific Gravity Temperature (Deriva  | SPGR.T.DRV      |          | 3207      |
  tive)                               |                 |          |           |
Specific Gravity Text                 | SPGR.TX         |          | 3326      |
Specific Polymer Number               | SPN             |          | 3377      |
Spectral Properties                   | SPECT           |          | 3327      |
Staff                                 | SF              |          | 3086      |
Stage                                 | STG             |          | 2941      |
Standards and Regulations             | SREG            |          | 2926      |
State of N.J. Right to Know           | SNJ             |          | 2942      |
State of Penn.                        | SPA             |          | 2943      |
Status                                | STA             |          | 2785      |
Status Date                           | STAD            |          | 3072      |
Storage                               | STRG            |          | 3328      |
Structure Update                      | UPST            |          | 2129      |
Studies on Toxicity /Exposure         | STY             |          | 2944      |
Subject                               | SUBJ            |          | 2500      |
Subject-GOO                           |                 |          | 3013      |
Subject-name-conference               |                 |          | 3014      |
Subject-name-corporate                |                 |          | 3015      |
Subject-name-form                     |                 |          | 3016      |
Subject-name-geographical)            |                 |          | 3017      |
Subject-name-periodical               |                 |          | 3018      |
Subject-name-title                    |                 |          | 3019      |
Subject-name-topical                  |                 |          | 3020      |
Subject-uncontrolled                  | UT              |          | 3021      |
Sublimation Point                     | SP              |          | 3178      |
Sublimation Point Pressure            | SP.P            |          | 3179      |
Subsequence Family Nucleic Acid       | SQSFN           |          | 2130      |
Subsequence Family Protein            | SQSFP           |          | 2131      |
Subsequence Nucleic Acid              | SQSN            |          | 2132      |
Subsequence Protein                   | SQSP            |          | 2133      |
Substance Class Identifier            | CI              |          | 2134      |
Substance Element Ratio, E1E2         | SUB ELR.E1E2.   |          | 2028-2667 |
Substance Interaction                 | INTC            |          | 3329      |
Substance State                       | SSTA            |          | 2945      |
Substantial Risk Report               | 8E(SRR)         |          | 2946      |
Summary Language                      | SL              |          | 2716      |
Superfund Amendment Reauthorization   | S110            |          | 2947      |
  Act -Section 110                    |                 |          |           |
Superfund Amendment Reauthorization   | S313            |          | 2948      |
  Section 313                         |                 |          |           |
Supplementary Material                | SM              |          | 2489      |
Supplementary Term                    | ST              |          | 2047      |
Supplementary Term Plus               | STP             |          | 2786      |
Supplementary Terms in German         | STDE            |          | 3073      |
Surface Tension                       | ST              |          | 2949      |
Surface Tension Temperature           | ST.T            |          | 2950      |
Surface Tension Text                  | ST.TX           |          | 3330      |
Synonym                               | SYN             |          | 3378      |
System Number                         | SN              |          | 2951      |
Table Title                           | TT              |          | 2490      |
Taste                                 | TASTE           |          | 3331      |
Term of Patent                        | PTERM (TERM)    |          | 2593      |
Test Rule - TSCA Section 4A           | 4A(TES)         |          | 2952      |
Test Status                           | TSTA            |          | 3332      |
Test System                           | SYS             |          | 2953      |
Therapeutic Use                       | THER            |          | 3208      |
Therapeutic Use - Veterinary          | VTHER           |          | 3209      |
Thermal Conduct.                      | TCND            |          | 2954      |
Thermal Conduct. Temperature          | TCND.T          |          | 2955      |
Thesaurus Index                       | THE,THI         |          | 3379      |
Thresh. Limit Value                   | TLV             |          | 2956      |
Ticker Symbol                         | TICK            |          | 2710      |
Title                                 | TI              | 4        |           |
Title-translated                      |                 |          | 3023      |
Top Boundary                          | TB              |          | 2788      |
Toxic Combustion Product              | TCP             |          | 3333      |
Toxic Conc. Low, Aerosol              | TCLOA           |          | 2957      |
Toxic Conc. Low, Vapor                | TCLOV           |          | 2958      |
Toxic Dose Low                        | TDLO            |          | 2959      |
Toxic Hazard Rating                   | TXHR            |          | 3334      |
Toxicity Data                         | TOX             |          | 2960      |
Toxicity Data (Derivative)            | TOX.DRV         |          | 3210      |
Toxicology Review                     | TREV            |          | 2961      |
Trade Name                            | TN              |          | 2962      |
Trade Name Classification             | TNC             |          | 2789      |
Transfer of Juris.- TSCA Section 9    | TRA             |          | 2963      |
Triple Point                          | TP              |          | 2964      |
Triple Point Press.                   | TPP             |          | 2965      |
TSCA Requirements                     | TSCA            |          | 3335      |
Tumorigenic Data                      | TUM             |          | 2967      |
Type of Derivative                    | TYP.DRV         |          | 3211      |
Type of Study                         | STY             |          | 2968      |
U.S. Manufacture                      | USPR            |          | 3336      |
U.S. Manufacture Text                 | USPR.TX         |          | 3337      |
U.S. Manufacture Year                 | USPR.YR         |          | 3338      |
U.S. Patent Reference                 | UREF            |          | 2553      |
Uniterm                               | UN              |          | 2790      |
Uniterm Registry Number               | URN             |          | 2791      |
Unpublished Report of Health/Safety   | 8D(UNP)         |          | 2970      |
  Studies                             |                 |          |           |
Unreasonable Risk- TSCA Section 6     | UNR             |          | 2971      |
Update Date                           | UP              |          | 2041      |
Used For Term                         | UF              |          | 3109      |
UV and Visible Spectrum Absorption C  | UVS.AC          |          | 3062      |
  oefficient                          |                 |          |           |
UV and Visible Spectrum Peak Positio  | UVS.PP          |          | 3063      |
  n                                   |                 |          |           |
UV and Visible Spectrum Solvent       | UVS.SOL         |          | 3064      |
UVCB Chemical Category                | UVC,UVCB        |          | 2969      |
UVS Spectrum Peak Position (Derivati  | UVS.PP.DRV      |          | 3213      |
  ve)                                 |                 |          |           |
van der Waals Area                    | VWA             |          | 2981      |
van der Waals Volume                  | VWV             |          | 2982      |
Vapor Pressure                        | VP              |          | 2972      |
Vapor Pressure Temp                   | VP.T            |          | 2973      |
Vapor Pressure Text                   | VP.TX           |          | 3339      |
Viscosity                             | VS              |          | 2974      |
Viscosity Temp.                       | VS.T            |          | 2975      |
Volatization from Water/Soil          | VWS             |          | 3340      |
Volume                                | VL              |          | 2491      |
Volume and Issue                      | VI              |          | 2042      |
Warnings                              | WARN            |          | 3214      |
West Longitude                        | WLON            |          | 2792      |
Wildlife Toxicity                     | WLTX            |          | 3341      |
Wiswesser Line Not.                   | WLN             |          | 2976      |
Word Count                            | WC              |          | 2711      |
XR Classifications                    | XR              |          | 2571      |
Year and Issue                        | YI              |          | 2793      |
Year-of-beginning                     |                 |          | 3024      |
Year-of-ending                        |                 |          | 3025      |
Yield                                 | YD              |          | 2977      |
Yield Text                            | YDT             |          | 2978      |
Yield Text with Product Func. Group   | FG.YDT          |          | 2979      |
Yield with Product Functional Group   | FG.YD           |          | 2980      |
Zip Code                              | ZP              |          | 2794      |

bib-1 is the currently defined Bibliographic Attribute Set.

STAS is the new CAS-defined Scientific and Technical Attribute Set.

Last Attribute Used: 3379
